country_name,matched_fishing,matched_unknown_likelyfish,matched_nonfishing,matched_unknown_likelynonfish,unmatched_fishing,unmatched_nonfishing
Angola,22.986505710333695,3.4408511618887316,88.19633911095714,2.2564758602475226,57.763847716594761,16.514172315461224
Nicaragua,0.13352930499583388,0.065267893801185861,17.052125332324593,0.54224489541824761,35.402914434832908,15.5176994692638
Saint-Barthélemy,0.0033670033670033669,0.02752931090525863,1.4020349968125123,0.074110717959286962,0.22224512401862256,0.22816121786514731
Seychelles,0.039117538005190952,0.0,0.31929574527252491,0.0,0.0684223375649947,0.026075424806632691
China,2597.7798021693884,661.50396030032084,5910.2497232688374,422.28021285085993,4654.1443673773474,1083.3529742209528
Israel,1.4190722596332468,0.093145304125826056,25.349937962333776,0.8509430415084942,6.6763035190128512,4.1189804147093811
Svalbard and Jan Mayen,12.68157992905029,0.51552748704795814,3.905970633396195,0.091979198156977957,7.8745440393785673,2.6993501897020704
Papua New Guinea,12.449749599042777,0.99868797880386218,113.23241279881709,4.3356493397339273,42.229384105428373,25.009034542000833
Northern Mariana Islands,0.1154818227252835,0.020636155458591248,1.031952660234521,0.18321455113851295,0.30202077382693659,0.6613866491801732
New Zealand,23.257044295050342,1.0019255973097279,48.802923161121534,1.7578710878533363,60.524870516716177,7.9308781932253183
Anguilla,0.010454051348572033,0.014151591542908817,4.1682852133811243,0.13499274533426611,0.779661178147698,0.80560634180225543
Greenland,0.0,0.0,0.0,0.0,0.41948647619047613,0.085275428571428585
Egypt,0.37973595543941407,0.87155727908785174,213.8652441704435,7.5416208970848,158.22291368069844,38.422301168022415
Estonia,1.8438218540104299,0.15589096688474402,20.255816852796166,0.60956643196368276,2.3108337806806909,1.5675343406642
French Guiana,3.3753670561260063,0.0094634547205857348,7.6228166542055105,0.20022343569855133,2.9132664002071893,2.4119964891740211
New Caledonia,1.6229526096593765,0.023998267362740515,5.6551688613910924,0.20757255543495537,1.5415116433626712,1.4514384619859739
Morocco,19.290741680462894,0.91999789435691615,115.20131357082528,3.8962156735708082,286.47381164445108,25.232680080842758
Ivory Coast,5.6385507941098121,0.96946084407011268,40.135498501024216,1.4414590906342672,28.765742323436644,6.69367620246531
Colombia,1.2175569809902695,0.59732599495678163,72.938797096806056,2.8682484056409221,34.58154076093642,18.044395321744844
Peru,18.879991441946675,5.1078129963391881,64.5403251706561,3.1828428952821692,146.20574013479089,17.752954066836026
Grenada,0.12668436405499311,0.11109499354351775,5.31306757602214,0.31403851176902009,1.493104085017787,0.80719964363184982
Algeria,0.39860882710040485,0.69227060340198343,161.24316577800786,4.4880334392957781,62.4002038171474,21.66041068303657
Libya,1.8577449921122478,0.13918536013654695,50.439350509593318,1.2187010935220848,37.055105447066218,12.087389550498912
Cura ao,0.070245201109432984,0.054165207827068788,9.6844477979599013,0.45178833077387981,1.1080037840041885,0.61748953139021678
