"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country","has_PAA"
"80","MOZ",0.615087825670989,0.774835320544627,0.273581053625816,0.840450070682274,0.927955147272475,0.577625083087463,0.564113945156451,0.59508056128765,0.609270316066757,0.386540442783104,0.00314695937366076,0.0401429266913142,0.818072235986783,0.653785162889553,0.759909157842129,0.466018964496278,0.3767340051416,0.892492238705284,0.106695464362851,0.355194544588,0.253881991718411,0.336502258227775,0.448999041830619,0.355608894452054,0.295316359479952,0.440858721819187,0.893304535637149,0.644805455412,0.746118008281589,0.663497741772225,0.551000958169381,0.644391105547946,0.704683640520048,0.559141278180813,0.0937451666652669,0.0937451666652669,1,"Africa","Mozambique","Has PAA"
"81","MRT",0.74295234846219,0.893716535195022,0.302708278600667,0.700409440449052,0.968511352327761,0.606543274923716,0.613954603119,0.602806235003505,0.759752814727958,0.32745324562415,0.0181530362686216,0.00409067606081229,0.776679567031107,0.492584029991997,0.994893500425467,0.744391440719716,0.767940684504707,0.680078772572168,0.284665226781857,0.357410531303565,0.247433641992616,0.368045195746187,0.472450900142966,0.337037648275479,0.376901804624551,0.342593997039591,0.715334773218143,0.642589468696435,0.752566358007384,0.631954804253813,0.527549099857034,0.662962351724521,0.623098195375449,0.657406002960409,0.0581771733910445,0.0581771733910445,0.789322287744005,"Africa","Mauritania","No PAA"
"82","MUS",0.415436163176921,0.6600842390913,0.721232375263968,0.229684383706845,0.526162478046418,0.343414542457697,0.457491925173882,0.235468670767949,0.563359011101478,0.292532502713912,0.000909495874964364,0.00197834921479423,0.750963668249753,0.405483777919522,0.684130914944069,0.476275052583739,0.565527064365526,0.546015342467285,0.724406047516199,0.702588953238105,0.515816015641063,0.710441576941786,0.784208316343617,0.740952940589601,0.711141118123305,0.752973751789258,0.275593952483801,0.297411046761895,0.484183984358937,0.289558423058214,0.215791683656383,0.259047059410399,0.288858881876695,0.247026248210742,-0.0240759032690926,-0.0240759032690926,0.302117685472176,"Africa","Mauritius","No PAA"
"83","MYS",0.716726872572973,0.673144223945341,0.653299842664227,0.262442435301002,0.688744757344432,0.741617190276658,0.6460417708921,0.839605512701729,0.587883169172098,0.368460469615929,0.0137046809856504,0.0171258924847266,0.750269914039911,0.665615649023775,0.627526556585816,0.418576666679459,0.416540907343585,0.642575226744209,0.726133909287257,0.635763577488566,0.526866940061283,0.753011130592241,0.655619779772812,0.665199962993622,0.675490598305412,0.538393053206025,0.273866090712743,0.364236422511434,0.473133059938717,0.246988869407759,0.344380220227188,0.334800037006378,0.324509401694588,0.461606946793975,-0.0242212472787266,-0.0242212472787266,0.301256778217619,"Asia","Malaysia","No PAA"
"84","NAM",0.372395309419023,0.795577539962878,0.571055040444456,0.444950998307538,0.671090955489284,0.483400616027325,0.520321135455925,0.451304350292882,0.362984342515733,0.254355096437892,0.0000264398762220574,0.0060067176061458,0.543533184065928,0.465270739977701,0.922784779317571,0.511408469969735,0.744080136748265,0.796633653808196,0.430669546436285,0.599230854270628,0.533342529560637,0.546018988297721,0.739879475040548,0.503687562451009,0.589204431297309,0.683252138976544,0.569330453563715,0.400769145729372,0.466657470439363,0.453981011702279,0.260120524959452,0.496312437548991,0.410795568702691,0.316747861023456,0.0322577595082875,0.0322577595082875,0.635795413800486,"Africa","Namibia","No PAA"
"85","NGA",0.791664178241928,0.766636543310858,0.223264449472928,0.779928615316698,0.968943365072854,0.693596935174588,0.687800695428869,0.702254514215794,0.741044428890303,0.432373054377045,0.0628309316959587,0.13825749015668,0.835860987223961,0.651670381430757,0.701945600954338,0.444951697806671,0.413515994995997,0.764008515034079,0.242764578833693,0.294434170378448,0.188209888311944,0.304818129399944,0.163869425897689,0.321285962826171,0.33243598886269,0.45598562697225,0.757235421166307,0.705565829621552,0.811790111688056,0.695181870600056,0.836130574102311,0.678714037173829,0.66756401113731,0.54401437302775,0.0669471229868073,0.0669471229868073,0.841268792096691,"Africa","Nigeria","Has PAA"
"86","NIC",0.377685464058553,0.623702552982679,0.291414630873089,0.597294920929192,0.664661005989516,0.304773025963102,0.0941935322140699,0.521844883818309,0.549034299429279,0.313887965025687,0.00270409675786687,0.0080857921726071,0.777181614213499,0.452192382120702,0.608944956779338,0.428366399541043,0.149922256181668,0.863253353918264,0.467818574514039,0.320980005772234,0.18360679025499,0.351843679921075,0.445421376991591,0.364391470337652,0.296221282989057,0.284395434139042,0.532181425485961,0.679019994227766,0.81639320974501,0.648156320078925,0.554578623008409,0.635608529662348,0.703778717010943,0.715604565860958,0.0236514080215012,0.0236514080215012,0.584817940088996,"Americas","Nicaragua","Has PAA"
"87","NLD",0.608104309002451,0.249069175520526,0.972523017150365,0.021735197660837,0.301347860272335,0.637223245707648,0.739269400107278,0.538564875249204,0.539873910078611,0.134411282749851,0.00153781198327849,0.00165260601020425,0.557669611734702,0,0.234112517382098,0.280201577923388,0.236308944975699,0.195789152113674,0.963714902807775,0.920485431480971,0.949307603834503,0.918603391710496,0.783288676097266,0.958738328652232,0.947565976974166,0.965408611617164,0.0362850971922249,0.079514568519029,0.050692396165497,0.081396608289504,0.216711323902734,0.041261671347768,0.052434023025834,0.034591388382836,-0.067211811738843,-0.067211811738843,0.0466134054745385,"Europe","Netherlands","No PAA"
"88","NOR",0.694306528905727,0.482783045258388,0.994286625792197,0,0.461800436733982,0.73366808476439,0.790036946349998,0.679786358792587,0.564375346309775,0.186657998285043,0.0253005319434987,0.00486193524392968,0.728446901631099,0,0.527669826930863,0.578182423118761,0.486819133939769,0.218418424688534,1,0.936702860331766,0.969464787047525,0.926433751922447,0.841064286386406,0.901646542068274,0.981607794565943,1,0,0.063297139668234,0.030535212952475,0.073566248077553,0.158935713613594,0.098353457931726,0.018392205434057,0,-0.0750813926007826,-0.0750813926007826,0,"Europe","Norway","No PAA"
"89","NZL",0.496027849332723,0.518196210207624,1,0.0119905906052251,0.382590267018491,0.639698068453923,0.629502024934057,0.653258784829003,0.380149884704857,0.271625254894303,0.000758479678709117,0.000731872987914249,0.591624931119487,0.48708786689385,0.495100038191796,0.331038618844098,0.537129382600931,0.351886950272566,0.961987041036717,0.945634819411462,0.990595923005895,0.880103177114232,0.919514379117371,0.95007611139447,0.96123401645784,0.972285309378965,0.038012958963283,0.054365180588538,0.00940407699410495,0.119896822885768,0.080485620882629,0.04992388860553,0.03876598354216,0.027714690621035,-0.067342321361649,-0.067342321361649,0.0458403658333035,"Oceania","New Zealand","No PAA"
