,ISO_TER1,flag_gfw,hours,fishing_hours
281,EGY,BLZ,3435.8928,209.5523
282,EGY,CHN,185.7512,21.0996
283,EGY,CPV,316.5975,19.0219
284,EGY,EGY,17.439,0
285,EGY,ESP,52.2839,0
286,EGY,FRA,185.6566,30.0593
287,EGY,RUS,118.6556,25.3239
288,EGY,SEN,40.5794,1.6452
289,EGY,TUR,35.5339,6.4155
290,ERI,CHN,7.7942,0
291,ERI,ESP,9.5931,0
292,ERI,FRA,35.0415,0
293,ERI,RUS,29.6318,0
294,ERI,SEN,1.722,0
295,ERI,TUR,11.4049,0
296,ESH,BLZ,3635.5577,164.5735
297,ESH,CHN,27162.6085,603.7258
298,ESH,CMR,2088.8536,43.328
299,ESH,CPV,14.6292,0
300,ESH,CUW,1318.3893,27.8876
301,ESH,DEU,100.8187,16.5287
302,ESH,ESP,8020.7193,80.0524
303,ESH,FRA,2870.7741,238.1713
304,ESH,GEO,4794.8429,140.3445
305,ESH,GRC,530.164,10.3547
306,ESH,HUN,2.5031,0
307,ESH,IDN,2829.6797,12.9997
308,ESH,ISL,7.8662,1.5452
309,ESH,JPN,97.2441,0.0333
310,ESH,LTU,1103.5069,17.2854
311,ESH,LVA,1128.4681,59.393
312,ESH,MAR,88572.6576,8946.5518
313,ESH,MRT,15350.2535,263.5562
314,ESH,NLD,439.4194,41.5502
315,ESH,NOR,3189.6949,7.2501
316,ESH,PRT,234.3355,145.7994
317,ESH,RUS,5651.1883,416.9486
318,ESH,SEN,84.203,0
319,ESH,SWE,140.5971,16.6227
320,ESH,TUR,2731.8594,158.3036
321,ESP,AGO,18.7011,0.9255
322,ESP,ARG,27.0089,3.1607
323,ESP,BEL,329.8408,2.0838
324,ESP,BLZ,746.082,0
325,ESP,CHN,11.1252,0
326,ESP,CPV,4.3265,0
327,ESP,DEU,441.9269,20.134
328,ESP,DZA,18.6076,0
329,ESP,ECU,387.1591,0.9471
330,ESP,ESP,2772030.668,892374.9484
331,ESP,FLK,2327.4846,22.6515
332,ESP,FRA,16896.2915,3009.0183
333,ESP,GBR,4640.9804,1.5384
