"","Alpha.3.code","exposure_scaled","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","index_mean_scaled","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","crit_2_1","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","crit_2_2","crit_2_2_A","crit_2_2_B","crit_2_2_C","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","crit_3_1_inverse","crit_3_2_inverse","crit_3_2_A_inverse","crit_3_2_B_inverse","crit_3_2_C_inverse","crit_3_2_D_inverse","crit_3_2_E_inverse","crit_3_2_F_inverse","cfa_vulnerability_score","cfa_mean_vulnerability","SIFI_Index","Continent","country","has_PAA"
"11","BHS",0.0912049582712032,0.544847398690881,0.688234615714389,0.214272883943735,0.404071065191738,0.00295194917374724,0.000102183902700381,0.0038615904452718,0.162889654347621,0.123893973016286,0.00119726458108105,0.00199782202530984,0.737187117715115,0.0616553777913547,0.718644054874086,0.751641753331349,0.606327148768881,0.473546412323437,0.74274661508704,0.691652105393236,0.726282415957124,0.673731596454824,0.852691782398594,0.571031610918506,0.565862810573635,0.760312416056732,0.25725338491296,0.308347894606764,0.273717584042876,0.326268403545176,0.147308217601406,0.428968389081494,0.434137189426365,0.239687583943268,-0.0512617707163352,-0.0512617707163352,0.368349961052631,"Americas","Bahamas","Has PAA"
"12","BLZ",0.170178080009494,0.524509312066381,0.452690449567498,0.422504480156013,0.542542275058538,0.00331776371041906,0,0.00437678945925029,0.279910570835841,0.180482081928189,0.000372743100173657,0.00185931755716861,0.817017665600173,0.178243175410457,0.63279179698587,0.710287745263477,0.418309411085846,0.514799607316407,0.527562862669245,0.477647614653181,0.393367424954763,0.399485994462508,0.664212876910936,0.384836615272216,0.35190031812721,0.672082458191456,0.472437137330755,0.522352385346819,0.606632575045237,0.600514005537492,0.335787123089064,0.615163384727784,0.64809968187279,0.327917541808544,0.00841163354482921,0.00841163354482921,0.566692483040836,"Americas","Belize","No PAA"
"13","BRA",0.28782828048857,0.510593837854901,0.475938009823136,0.370904418718638,0.568204569014956,0.0170414768852224,0.013691598051905,0.0181107537384254,0.441063728863228,0.357232257815496,0.0598190499438923,0.130515440019655,0.796175802352922,0.6214776899215,0.436018866848405,0.49036900340833,0.357811878267482,0.364049138605599,0.614603481624758,0.489333375754377,0.31953364928015,0.434933642311108,0.582194368018507,0.464340981617926,0.478823712267843,0.656173901030727,0.385396518375242,0.510666624245623,0.68046635071985,0.565066357688892,0.417805631981493,0.535659018382074,0.521176287732157,0.343826098969273,-0.00609233587570259,-0.00609233587570259,0.518484174677569,"Americas","Brazil","No PAA"
"14","BRB",0.22070102805482,0.463438324207894,0.729686892197625,0.21739316581175,0.431619957745768,0.00192608488533559,0.000167802741873083,0.00248732619911251,0.356400252402099,0.0986054074361324,0.000503054155947587,0.000503329757184556,0.713684496541005,0,0.626794399554737,0.660406084684437,0.628737091396642,0.341112154373505,0.68568665377176,0.741647273373916,0.799792900874899,0.646579730764306,0.863544871916193,0.660421172583806,0.635076841440315,0.844468122663979,0.31431334622824,0.258352726626084,0.200207099125101,0.353420269235694,0.136455128083807,0.339578827416194,0.364923158559685,0.155531877336021,-0.0465533914818089,-0.0465533914818089,0.383999676757901,"Americas","Barbados","No PAA"
"15","BRN",0.274364514725048,0.532914757150998,0.697269201134921,0.20186211009296,0.487961426095956,0.0432987151172795,0.00609068850903904,0.0551754675567555,0.394793764586197,0.0799732291262916,0.000256921107153625,0.00000355139661900584,0.495190161622369,0.154884705286196,0.745395110870067,0.617310543995584,0.663765783094836,0.609055615585013,0.773694390715667,0.689008341444788,0.638209080415363,0.846445807584849,0.925102410266951,0.693732955628921,0.689520829746764,0.341038965025877,0.226305609284333,0.310991658555212,0.361790919584637,0.153554192415151,0.074897589733049,0.306267044371079,0.310479170253236,0.658961034974123,-0.0527791581378264,-0.0527791581378264,0.363306467192376,"Asia","Brunei","No PAA"
"16","CAN",0.132487849008459,0.544588765538949,0.946738911497009,0.0347596917319788,0.327010823123335,0.00278638328187224,0.00380044934794192,0.0024626947468475,0.224418675099032,0.215792419204585,0.00902946154530357,0.0168016574045167,0.717747634462622,0.3758760478253,0.626373465561997,0.642729915955623,0.792386640855982,0.194216427572802,0.947775628626693,0.92966636711162,0.921004902867205,0.958607741113157,0.878896112613221,0.918911411773625,0.954734073484993,0.945843960817521,0.052224371373307,0.07033363288838,0.078995097132795,0.041392258886843,0.121103887386779,0.081088588226375,0.045265926515007,0.054156039182479,-0.108764563293166,-0.108764563293166,0.177222120396223,"Americas","Canada","No PAA"
"17","CHL",0.33952115547546,0.53241869802741,0.789934901563607,0.153206435477082,0.496168669016435,0.0183143532047722,0.00867155627579548,0.0213923211162505,0.516627850732737,0.265918775400088,0.0275956395210395,0.0263775141063088,0.801286320187952,0.437331754080178,0.558735793022681,0.757924572185867,0.193002195107269,0.530199271255283,0.788684719535784,0.788192315688691,0.695074864917393,0.805617754248908,0.754348260488937,0.844983125067488,0.802483961793138,0.82664592761628,0.211315280464216,0.211807684311309,0.304925135082607,0.194382245751092,0.245651739511063,0.155016874932512,0.197516038206862,0.17335407238372,-0.0617795105094606,-0.0617795105094606,0.333391086793436,"Americas","Chile","Has PAA"
"18","CHN",0.784086653177768,1,0.454133857642028,0.405515050343512,1,0.500990615260166,1,0.341707485576056,0.694759840308419,1,1,1,0.828107665756226,1,0.497449857974772,0.613944148045467,0.392736618028094,0.340156186006461,0.569148936170213,0.468044921270122,0.35847001587078,0.658719638250087,0.603311437687418,0.505294179813951,0.49649665110299,0.185977604895507,0.430851063829787,0.531955078729878,0.64152998412922,0.341280361749913,0.396688562312582,0.494705820186049,0.50350334889701,0.814022395104493,0.00532627369856982,0.00532627369856982,0.556437360834803,"Asia","China","No PAA"
"19","CIV",0.434413197635169,0.619879371001144,0.356771349860097,0.688046132623648,0.825331906176313,0.0807389199926111,0.0446045189064478,0.0922729725981864,0.595252116563142,0.261305141475092,0.00455641557784497,0.011474885330246,0.723801599258164,0.536822836855612,0.689195196548674,0.578152754445225,0.467604870588976,0.721229665480467,0.138781431334623,0.427052619536156,0.298708148390615,0.405142524228042,0.455837088119705,0.492495835831834,0.408672422369224,0.501459698277516,0.861218568665377,0.572947380463844,0.701291851609385,0.594857475771958,0.544162911880295,0.507504164168166,0.591327577630776,0.498540301722484,0.0937404979292092,0.0937404979292092,0.850308649571522,"Africa","Côte d’Ivoire","No PAA"
"20","CMR",0.443871474838121,0.660964726237529,0.237749759012766,0.717012298350573,0.857858868225451,0.0734383098344983,0.109751946291475,0.061847045537748,0.616611639646861,0.252556286015966,0.0025611585403133,0.0152732654413918,0.755024489400384,0.47357827821768,0.75706111540618,0.640802262378686,0.614803030468075,0.660089074399107,0.231624758220503,0.29252847514549,0.128052882667172,0.349681941525456,0.357949796411866,0.352660495656629,0.292492100255259,0.274333634356556,0.768375241779497,0.70747152485451,0.871947117332828,0.650318058474544,0.642050203588134,0.647339504343371,0.707507899744741,0.725666365643444,0.0905552680566191,0.0905552680566191,0.83972157927004,"Africa","Cameroon","Has PAA"
