"","Alpha.3.code","fishing_ratio","crit_1_1","crit_1_1_A","crit_1_1_B","crit_1_2","exposure_scaled","Subregion","Continent","crit_2_1_A","crit_2_1_B","crit_2_1_C","crit_2_1_D","mean_2_1_A","mean_2_1_B","mean_2_1_C","mean_2_1_D","crit_2_1","crit_2_2_A_raw","crit_2_2_B_raw","crit_2_2_C_raw","crit_2_2_A","crit_2_2_B","crit_2_2_C","mean_2_2_A","mean_2_2_B","mean_2_2_C","crit_2_2","sensitivity","adaptive_capacity","adaptive_capacity_raw","adaptive_capacity_log","crit_3_1_raw","crit_3_2_raw","crit_3_2_A_raw","crit_3_2_B_raw","crit_3_2_C_raw","crit_3_2_D_raw","crit_3_2_E_raw","crit_3_2_F_raw","crit_3_1","crit_3_2","crit_3_2_A","crit_3_2_B","crit_3_2_C","crit_3_2_D","crit_3_2_E","crit_3_2_F","adaptive_capacity_inverse","adaptive_capacity_inverse_raw","sensitivity_scaled","adaptive_capacity_scaled","adaptive_capacity_inverse_scaled","overall_index_sum","overall_index_prod","overall_index_mean","index_sum_scaled","index_prod_scaled","index_mean_scaled"
"83","MUS",0.0000941974282983645,0.00396085905243387,0.0133582769738473,0.000989120970199427,0.405220467562937,0.254627058782007,"Sub-Saharan Africa","Africa",0.000906035321950395,0.00192711694716781,0.737314652984937,0.355647791195818,0.00557025054374124,0.0136754329125574,0.723801599258164,0.424334658875087,0.20894262017966,11.2026432839286,0.960685139009185,11.35,0.639818013118544,0.565527064365526,0.546015342467285,0.61460106027298,0.500070463853402,0.719378497826408,0.682063512213546,0.445503066196603,0.778287594963552,1.55808521666667,0.882770486369142,0.79375,0.764335216666666,0.2696345,0.8760849,0.872838,1.027193,0.7796614,0.7605995,0.691489361702128,0.726098970584213,0.500333624730405,0.755284834246769,0.852850519962905,0.772309717617705,0.724465638985441,0.751349487962056,0.221712405036448,1.18400578333333,0.578531908317382,0.721232375263968,0.221712405036448,1.05487137213584,0.203763855816313,0.527435686067918,0.552698623457036,0.250002805756116,0.511910210126025
"84","MYS",0.00257848332707287,0.111250929308501,0.0226631746715814,0.139264965320915,0.471261713345193,0.371102992774984,"South-eastern Asia","Asia",0.0137306913419201,0.0170754377984182,0.736582875962385,0.637585507108472,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.298455917633979,7.34824903573149,0.655774962079205,16.18,0.562307199925295,0.416540907343585,0.642575226744209,0.575715689382921,0.433691009115231,0.610098786445646,0.622763713409708,0.460609815521843,0.74827426708806,1.26955633333333,0.854815517318148,0.79475,0.474806333333333,0.3139765,1.075348,0.2373901,0.682474,0.6233374,-0.083688,0.693423597678917,0.65751703505493,0.51196380381502,0.803515356387419,0.713006555049342,0.693111489428182,0.688147141908247,0.535357863741369,0.251725732911941,1.47253466666667,0.599529776845186,0.653299842664227,0.251725732911941,1.22235850253211,0.315903467287064,0.611179251266055,0.632506241780006,0.370075261648409,0.59449186237152
"85","NAM",0.000183238932182751,0.00780093658387896,0.0131935093131257,0.00609564754866373,0.107024751705913,0.0568246726714084,"Sub-Saharan Africa","Africa",0.0000209136385539062,0.00595569213007281,0.518515458761436,0.424334658875087,0.00557025054374124,0.0136754329125574,0.723801599258164,0.424334658875087,0.16639227868246,11.5053187522458,1.40094512430761,28.09,0.687015516292448,0.744080136748265,0.796633653808196,0.61460106027298,0.500070463853402,0.719378497826408,0.899465487526847,0.532928883104653,0.563378411682466,0.92023915,0.682600095657393,0.62375,0.29648915,0.3399599,0.106442,0.6537775,-0.052499,0.2449811,0.4862734,0.362669245647969,0.616347435486487,0.518778823327608,0.568997062306833,0.804641549761024,0.524253493880683,0.600244246794972,0.681169436847801,0.436621588317534,1.82185185,0.700050824786323,0.571055040444456,0.436621588317534,1.19349708577527,0.0645910378092465,0.596748542887633,0.619192125449268,0.0843763111583201,0.580572060212614
"86","NGA",0.00388737414743048,0.171133482746157,0.197825232304659,0.162692771764929,0.731728439259297,0.586372699192164,"Sub-Saharan Africa","Africa",0.0629621573715884,0.13821325361847,0.826864966943761,0.62247126187479,0.00557025054374124,0.0136754329125574,0.723801599258164,0.424334658875087,0.369543682090962,11.7881831916076,0.650102472830253,25.02,0.597738868916156,0.413515994995997,0.764008515034079,0.61460106027298,0.500070463853402,0.719378497826408,0.692972181197288,0.531257931644125,0.225489232017156,-0.5569269,0.367883860277098,0.515,-1.0719269,-1.04489,-1.022591,-2.1927,-0.8825297,-0.8809231,-0.4079276,0.152321083172147,0.292353161991641,0.155555415670973,0.295720920843486,0.1782130107144,0.333556257050367,0.338664781089773,0.452408586580845,0.774510767982844,3.2990179,0.697728259002704,0.223264449472928,0.774510767982844,2.05861172617771,0.86328077210956,1.02930586308886,0.957816354993167,0.838952620596296,0.951465627919816
"87","NIC",0.000290903832958103,0.012187853839784,0.000042962302261034,0.0160284233439266,0.400783943968314,0.257174196151857,"Latin America and the Caribbean","Americas",0.00270482156477291,0.00803487342338169,0.764969534443823,0.40627179634385,0.0156357870048833,0.0170967461781322,0.737187117715115,0.291756559847622,0.233894974878509,6.7668903541219,0.223591335988381,35.53,0.575458523712841,0.149922256181668,0.863253353918264,0.586847705678886,0.41348122221462,0.540929230012489,0.60779960242648,0.420847288652495,0.417935755372919,-0.2674736,0.547132113809645,0.64525,-0.9127236,-1.06336,-0.8024699,-0.8013505,-0.6863752,-1.039721,-1.083065,0.404255319148936,0.32403404731985,0.150711037706676,0.349000005567022,0.484409365538301,0.378622205986753,0.301771526906062,0.279690142214286,0.582064244627081,3.0095646,0.544261214856084,0.291414630873089,0.582064244627081,1.38349965563502,0.289661844647954,0.691749827817511,0.703804115370488,0.342920626860286,0.669988994530323
"88","NLD",0.00353557140150151,0.162936285178505,0.551578011815743,0.0400364174646814,0.388589127838426,0.350280059006923,"Western Europe","Europe",0.00153581871520685,0.00160135702093355,0.533426666221114,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.0470341722425358,0.769797246898555,0.34958341663875,2.73,0.376416979825123,0.236308944975699,0.195789152113674,0.468971219647869,0.406848262377542,0.215077697734344,0.251774201494473,0.149404186868504,0.978936991370142,2.6253884,1.06965904767483,0.93225,1.6931384,2.009026,1.850466,0.8682934,2.01824,1.816361,1.596444,0.959381044487428,0.955004619505284,0.95654747713346,0.991128345749809,0.851850383078439,1,0.965320347107849,0.965181163962148,0.0210630086298578,0.1167026,0.166964521747099,0.972523017150365,0.0210630086298578,0.53830758938388,0.0658622944353663,0.26915379469194,0.25780351571287,0.0859851102607715,0.225313180611107
"89","NOR",0.00404453683735393,0.0415323525613926,0.113044537019634,0.0189181106839424,0.476010114225542,0.327444050532282,"Northern Europe","Europe",0.0253525094760199,0.00481085100180056,0.713563802611787,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.107011974870126,61.7883003600821,0.793196557259076,3.03,0.77671825801724,0.486819133939769,0.218418424688534,0.468971219647869,0.406848262377542,0.215077697734344,0.559114481476836,0.333063228173481,1,2.71782466666667,1.08927752373358,0.95325,1.76457466666667,2.089907,1.887119,1.153804,1.75844,1.965631,1.732547,1,0.972126006192718,0.977761236425841,1,0.914683125666542,0.940311675063927,1,1,0,0.0242663333333333,0.42224435198967,0.994286625792197,0,0.749688402521952,0.138261400929876,0.374844201260976,0.388944082320046,0.174577020704084,0.349071098400527
"90","NZL",0.000246104261339254,0.0104605861857655,0.0104764609192754,0.0104555661312663,0.129751498165555,0.0738839338572427,"Australia and New Zealand","Oceania",0.00075466615289359,0.000680576733896757,0.569242985843686,0.428879558330927,0.00348572401922216,0.00715105994660637,0.809635348480105,0.428879558330927,0.181079906330206,1.64999368624865,0.898524106838027,5.36,0.444710404681752,0.537129382600931,0.351886950272566,0.72297189803294,0.54259365084217,0.526953574262547,0.491466707914261,0.336273307122233,0.987995852027232,2.742091,1.07809663814653,0.93125,1.810841,2.174696,1.670251,1.541482,1.978822,1.876294,1.623501,0.957446808510638,0.981633282416585,1,0.947508309990166,1,0.990943824509892,0.979244482143591,0.972103077855862,0.0120041479727683,0,0.426706252712228,1,0.0120041479727683,0.512594334542238,0.0324136502266947,0.256297167271119,0.240634615757553,0.0430024523026823,0.209560337870733
"91","OMN",0.000860026629502298,0.0367691458642467,0.00147351174944491,0.0479306564954343,0.385935154576003,0.263714285733351,"Western Asia","Asia",0.00302776119613114,0.00815981801352307,0.789545683743035,0.369961233234869,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.230627305484644,15.71560840115,0.962117057678719,4.52,0.660474862490709,0.566170562653947,0.310450482622666,0.575715689382921,0.433691009115231,0.610098786445646,0.584278939229107,0.407453122356876,0.731376495227073,0.958586416666667,0.839076619873511,0.81925,0.139336416666667,0.2460828,0.1865782,0.6545912,0.3100107,0.4648626,-1.026107,0.740812379110251,0.57341669763793,0.494156400231124,0.588393582627794,0.804820621930828,0.607539085743956,0.651328953014611,0.294261542279266,0.268623504772927,1.78350458333333,0.525643778579106,0.580083692664119,0.268623504772927,1.05798156908538,0.209459629310551,0.528990784542692,0.554239075462725,0.256366312857072,0.513484595504747
"92","PAK",0.00187965224180716,0.0807080592100937,0.000741238308858722,0.105995904123953,0.745012543629656,0.534534938972948,"Southern Asia","Asia",0.0491657404390924,0.0607824759885232,0.763749399570442,0.799759683971195,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.376186896095991,33.6972981804063,0.714643775939762,24.47,0.695407755532571,0.447335256488025,0.75775893443677,0.575715689382921,0.433691009115231,0.610098786445646,0.750127702288624,0.563157299192308,0.265212201703462,-0.437861633333333,0.404882569410616,0.5305,-0.968361633333333,-0.7907338,-0.6338443,-2.267435,-0.6444417,-0.6730217,-0.8006933,0.182301740812379,0.316824705605385,0.222216417012029,0.389814891686331,0.161765968057064,0.388256310581467,0.386966170436543,0.351928475858876,0.734787798296538,3.17995263333333,0.742067296572997,0.25129770914484,0.734787798296538,2.01139003384248,0.789430648007975,1.00569501692124,0.941968704991918,0.784435160850923,0.933358901408794
"93","PAN",0.000641184760344517,0.0273814108485921,0.0040870550046266,0.034747766686071,0.359543320718099,0.239670974936055,"Latin America and the Caribbean","Americas",0.00251474564829457,0.00786634351109795,0.795092555530232,0.338907719072511,0.0156357870048833,0.0170967461781322,0.737187117715115,0.291756559847622,0.223009142894379,9.54973314616749,0.935654869993373,19.35,0.609003842966074,0.554202015653283,0.692110125744746,0.586847705678886,0.41348122221462,0.540929230012489,0.72950604187859,0.476257592386484,0.709993838297344,0.901011333333333,0.81916041747242,0.79875,0.102261333333333,-0.567027,-0.019452,0.2771547,0.4016129,-0.0592212,0.5805006,0.701160541586074,0.567433823966288,0.280891040313775,0.538525121669681,0.721757609741949,0.628584435545569,0.52956942819114,0.705275308335614,0.290006161702656,1.84107966666667,0.621279655279136,0.56652795716794,0.290006161702656,1.15095679191785,0.218408760201426,0.575478395958924,0.599244897316637,0.266304295774245,0.559823889301041
"94","PER",0.00495386756950354,0.0490650736223462,0.0265648030980145,0.0561803164834061,0.701244279453527,0.483859758338635,"Latin America and the Caribbean","Americas",0.0889935102546101,0.0264775989201171,0.766590745782224,0.0050718675295452,0.0156357870048833,0.0170967461781322,0.737187117715115,0.291756559847622,0.148530957419712,77.404577356613,0.836908499683742,8.89,0.765684005916844,0.508048026485457,0.481035967864006,0.586847705678886,0.41348122221462,0.540929230012489,0.683618640417518,0.416074798918615,0.644886451991866,0.623637733333333,0.758518192901018,0.7585,-0.134862266666667,-0.5401052,-0.2454309,-0.2593005,0.5182164,-0.5170875,0.2345341,0.62330754352031,0.511802510496719,0.287952186750115,0.483828189122862,0.603699115620718,0.655373764247199,0.423194105922677,0.616767701316742,0.355113548008134,2.11845326666667,0.537627616202609,0.501221874440206,0.355113548008134,1.37660092254938,0.431961523973962,0.688300461274689,0.700851839775507,0.484015966640471,0.66683120338402
"95","PHL",0.000677106735887859,0.0288559699876434,0.000305171372111213,0.0378845665908284,0.485604930286331,0.325373286022081,"South-eastern Asia","Asia",0.0745029541687235,0.354479747837926,0.907895053298067,0.827840704284869,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.518416537469064,10.7426304078931,0.819532895283172,24.93,0.580374041991533,0.499670611920865,0.762994949230928,0.575715689382921,0.433691009115231,0.610098786445646,0.723903430959816,0.62115998421444,0.559694545245183,0.3623466,0.679168874279029,0.6975,-0.3351534,-0.5448154,0.0495094,-1.121844,0.0459113,-0.4776694,0.0379877,0.50531914893617,0.466918724299861,0.286716778569962,0.555216843968241,0.413877884091868,0.546862985656882,0.432352048078958,0.566485805433256,0.440305454754817,2.3797444,0.822689058947743,0.439702319697109,0.440305454754817,1.58836779972464,0.410944675151262,0.79418389986232,0.787789602607474,0.464083844431188,0.760942077843293
"96","PNG",0.0000826208857577739,0.00180889840861582,0.00110743665539646,0.00203072110743641,0.297560595925203,0.180835224618318,"Melanesia","Oceania",0.00486273555370095,0.0278248696556727,0.876048941204226,0.575648706681683,0.00348572401922216,0.00715105994660637,0.809635348480105,0.428879558330927,0.32144686852829,19.964736612873,0.560092553119545,NA,0.673903364641555,0.364073743329591,0.526953574262547,0.72297189803294,0.54259365084217,0.526953574262547,0.596981983272978,0.459214425900634,0.334619868294316,-0.0450573,0.469530154626695,0.536,-0.5810573,-0.8760095,-0.6773402,-0.6669981,-0.5433646,-0.7658504,0.043219,0.19294003868472,0.406302581239086,0.199850000013114,0.379286951651384,0.513976498125651,0.411478492215016,0.365399431678389,0.567824113750963,0.665380131705684,2.7871483,0.597590232659975,0.343781320737577,0.665380131705684,1.44380558898398,0.228389529526343,0.721902794491989,0.729253732659945,0.277302171764919,0.697322106825913
"97","POL",0.0012594424153972,0.056368760679926,0.121218618188966,0.035861341216548,0.408668172853511,0.29216115321586,"Eastern Europe","Europe",0.00101001627442739,0.00165721080412337,0.513913557765414,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.0412486893255526,2.41705216927723,0.538481042691231,4.01,0.479545703112451,0.351777971865769,0.282092437349249,0.468971219647869,0.406848262377542,0.215077697734344,0.390922851200696,0.216085770263124,0.829451982490385,1.51487365,0.930425943829878,0.86775,0.64712365,0.6414219,0.6626508,0.5450124,0.8819272,0.4278919,0.7238377,0.834622823984526,0.700966142127601,0.597847359866466,0.703624300582383,0.780705452359144,0.738935305483376,0.642739611263557,0.741944823210681,0.170548017509615,1.22721735,0.259649658119001,0.711058450465327,0.170548017509615,0.722358828844476,0.125687049022439,0.361179414422238,0.372909428746492,0.159602114802589,0.333616643268029
"98","PRT",0.0020639420594507,0.0937807961278967,0.259105491479159,0.0415002976742048,0.257306567631891,0.215588824159354,"Southern Europe","Europe",0.00128889033777756,0.00229581648706823,0.589195288113486,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.063309839718572,1.16058557595305,0.664576228272984,3.66,0.411615671612602,0.421213819183796,0.260907563488103,0.468971219647869,0.406848262377542,0.215077697734344,0.381941857251428,0.222625848485,0.857875475379474,1.92288668333333,0.956900111150871,0.8505,1.07238668333333,0.8498304,1.208909,1.140031,0.8900307,1.140912,1.204607,0.801257253384913,0.802355786608525,0.652509490076107,0.835843051618636,0.911652081062012,0.740797061992689,0.808394395032076,0.86493863986963,0.142124524620526,0.819204316666666,0.268740144742424,0.807122866505139,0.142124524620526,0.626453493522304,0.0885778309565802,0.313226746761152,0.314554960971039,0.114413039343447,0.278128649473588
"99","QAT",0.00116457343462246,0.0503316493952509,0.0230194627694541,0.058968560702561,0.431073337280089,0.30316022897969,"Western Asia","Asia",0.00137677423576825,0.000655716957563716,0.601402749435116,0.25787526825942,0.0556697924596863,0.110896921046402,0.709986261363805,0.530013067862572,0.141054635839411,9.53509926925418,1.5215235274696,NA,0.621335798320012,0.787271696731001,0.610098786445646,0.575715689382921,0.433691009115231,0.610098786445646,0.804072988462747,0.472563812151079,0.774498797804245,1.19020886666667,0.879241530574292,0.842,0.348208866666667,0.7248945,0.6312364,0.6783724,0.5151712,0.7346737,-1.195095,0.784816247582205,0.624255558410161,0.619740853318687,0.696020620248517,0.810054186001781,0.654674138045908,0.714013720847729,0.251029831998342,0.225501202195755,1.55188213333333,0.616145426194918,0.634617919718534,0.225501202195755,1.14480685737036,0.2551537845829,0.572403428685182,0.596328586618426,0.306358504092655,0.556801229409108
"100","RUS",0.0000614241390585745,0.00238458121434486,0.00515540428466926,0.00150836601288469,0.247216785849835,0.147391821318185,"Eastern Europe","Europe",0.0141237935999666,0.0506726183769278,0.685133692348791,0,0.00394607718689199,0.00451658281604013,0.576285605213806,0,0.108807846760644,13.7868827280944,1.23527005160665,3.8,0.628024900356142,0.681056423681856,0.269566472285177,0.468971219647869,0.406848262377542,0.215077697734344,0.603242106007007,0.356024976383825,0.646246637712326,0.185744583333333,0.759785095054515,0.823,-0.637255416666667,-0.8451133,-0.0608858,-0.5037209,-0.5404854,-0.8153201,-1.058007,0.748065764023211,0.389750979712693,0.207953566361814,0.528496301440189,0.549909154489744,0.412139980379588,0.353906217873345,0.286100657731479,0.353753362287674,2.55634641666667,0.45416040220729,0.398122349900711,0.353753362287674,0.955305585813148,0.119079881216944,0.477652792906574,0.502111587545823,0.151666402862242,0.460644182188768
