eez,dist_km,area_km2,ais_fishing,dark_fishing,ISO_TER1,GEONAME,SOVEREIGN1,fishing_per_km2
8464,25,242609.8882,16.97207297,79.41726716,BRA,Brazilian Exclusive Economic Zone,Brazil,0.000397302
8411,5,1441.872913,0.005405405,0.078725792,VGB,British Virgin Islands Exclusive Economic Zone,United Kingdom,5.83E-05
8411,10,2572.48742,0.010810811,0.103499206,VGB,British Virgin Islands Exclusive Economic Zone,United Kingdom,4.44E-05
8411,15,3671.46274,0.010810811,0.157277994,VGB,British Virgin Islands Exclusive Economic Zone,United Kingdom,4.58E-05
8411,20,4771.513319,0.010810811,0.257147505,VGB,British Virgin Islands Exclusive Economic Zone,United Kingdom,5.62E-05
8411,25,5941.545662,0.019321449,0.314958315,VGB,British Virgin Islands Exclusive Economic Zone,United Kingdom,5.63E-05
26521,5,1167.511368,0.094202899,0.969442431,BRN,Bruneian Exclusive Economic Zone,Brunei,0.000911036
26521,10,1856.1994,0.115942029,2.449195527,BRN,Bruneian Exclusive Economic Zone,Brunei,0.00138193
26521,15,2500.678681,0.115942029,3.061152056,BRN,Bruneian Exclusive Economic Zone,Brunei,0.001270493
26521,20,3109.531786,0.115942029,3.393137104,BRN,Bruneian Exclusive Economic Zone,Brunei,0.001128491
26521,25,3725.724075,0.115942029,3.651681435,BRN,Bruneian Exclusive Economic Zone,Brunei,0.001011246
5672,5,1988.74009,1.928352883,1.184586652,BGR,Bulgarian Exclusive Economic Zone,Bulgaria,0.001565282
5672,10,3320.499658,3.118975977,1.675655174,BGR,Bulgarian Exclusive Economic Zone,Bulgaria,0.001443949
5672,15,4614.368786,3.760333872,1.916479793,BGR,Bulgarian Exclusive Economic Zone,Bulgaria,0.001230247
5672,20,5870.419581,4.197830029,2.135828782,BGR,Bulgarian Exclusive Economic Zone,Bulgaria,0.001078911
5672,25,7103.153682,4.485593544,2.319264895,BGR,Bulgarian Exclusive Economic Zone,Bulgaria,0.000958005
8331,5,4539.94767,0.081841432,16.21853423,KHM,Cambodian Exclusive Economic Zone,Cambodia,0.003590433
8331,10,7563.909205,0.089514066,39.35532002,KHM,Cambodian Exclusive Economic Zone,Cambodia,0.005214874
8331,15,10086.15234,0.104865893,57.24360431,KHM,Cambodian Exclusive Economic Zone,Cambodia,0.005685862
8331,20,12440.50954,0.114465691,70.52821198,KHM,Cambodian Exclusive Economic Zone,Cambodia,0.005678439
8331,25,14737.09062,0.127253415,80.19216195,KHM,Cambodian Exclusive Economic Zone,Cambodia,0.005450154
8475,5,3727.072725,0.712863443,1.629747266,CMR,Cameroonian Exclusive Economic Zone,Cameroon,0.000628539
8475,10,5546.748765,3.462524891,5.636679325,CMR,Cameroonian Exclusive Economic Zone,Cameroon,0.001640457
8475,15,7231.308516,4.819980064,8.61067573,CMR,Cameroonian Exclusive Economic Zone,Cameroon,0.001857293
8475,20,8839.67965,5.378159291,10.31607424,CMR,Cameroonian Exclusive Economic Zone,Cameroon,0.00177543
8475,25,10160.43544,5.699062023,11.15281767,CMR,Cameroonian Exclusive Economic Zone,Cameroon,0.001658578
8493,5,684998.9061,12.99846906,40.71057895,CAN,Canadian Exclusive Economic Zone,Canada,7.84E-05
8493,10,1006096.507,20.12221566,58.91335632,CAN,Canadian Exclusive Economic Zone,Canada,7.86E-05
8493,15,1269923.514,24.83966999,70.54275188,CAN,Canadian Exclusive Economic Zone,Canada,7.51E-05
8493,20,1498705.779,28.7721608,79.73295852,CAN,Canadian Exclusive Economic Zone,Canada,7.24E-05
8493,25,1702278.546,33.05421536,88.3156892,CAN,Canadian Exclusive Economic Zone,Canada,7.13E-05
8362,5,6677.672035,0.076923077,0.169010038,CPV,Cape Verdean Exclusive Economic Zone,Cape Verde,3.68E-05
8362,10,13048.22946,0.153846154,0.240128628,CPV,Cape Verdean Exclusive Economic Zone,Cape Verde,3.02E-05
8362,15,19974.56495,0.205128205,0.240128628,CPV,Cape Verdean Exclusive Economic Zone,Cape Verde,2.23E-05
